City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Bose,IT,45.4612,8.0137,72.84,68,34,4.43,scattered clouds
243,Yeniseysk,RU,58.4497,92.1703,67.64,49,99,2.33,overcast clouds
244,Cap Malheureux,MU,-19.9842,57.6142,74.46,67,80,8.99,broken clouds
245,Vardo,NO,70.3705,31.1107,55.38,76,75,28.77,broken clouds
246,Olinda,BR,-8.0089,-34.8553,74.59,85,20,13.35,few clouds
247,Svetlyy,RU,54.675,20.1347,53.65,84,41,13.56,scattered clouds
248,Machico,PT,32.7,-16.7667,68.72,83,75,6.91,broken clouds
249,Puerto Maldonado,PE,-12.6,-69.1833,75.33,76,84,2.68,broken clouds
250,Dongsheng,CN,39.8161,109.9776,81.28,32,68,9.93,broken clouds
251,Merauke,ID,-8.4667,140.3333,78.87,69,98,13.09,overcast clouds
252,Constitucion,CL,-35.3333,-72.4167,44.64,91,100,3.06,overcast clouds
253,Scalea,IT,39.813,15.7956,76.51,62,0,0.54,clear sky
254,Hammerfest,NO,70.6634,23.6821,52.25,82,75,6.91,light rain
255,Pangkalanbuun,ID,-2.6833,111.6167,94.15,48,46,1.7,scattered clouds
256,Pangai,TO,-19.8,-174.35,78.4,78,100,14.81,overcast clouds
257,Mahibadhoo,MV,3.7833,72.9667,82.11,76,32,7.4,scattered clouds
258,Xai-Xai,MZ,-25.0519,33.6442,65.48,82,53,10.98,light rain
259,Lavrentiya,RU,65.5833,-171.0,45.39,66,2,6.67,clear sky
260,Ibra,OM,22.6906,58.5334,91.62,42,97,2.39,overcast clouds
261,Nanortalik,GL,60.1432,-45.2371,40.15,92,100,7.81,overcast clouds
262,Dunda,TZ,-8.1167,34.25,63.07,71,63,4.32,broken clouds
263,Xinzhou,CN,38.4092,112.7333,76.57,72,99,5.79,overcast clouds
264,Ovsyanka,RU,55.9575,92.5519,56.37,53,63,2.3,light rain
265,Gornyak,RU,50.9942,81.4661,81.23,40,50,6.04,scattered clouds
266,Velika Kladusa,BA,45.1894,15.8117,66.74,95,88,1.59,overcast clouds
267,Nelson Bay,AU,-32.7167,152.15,63.09,62,100,5.99,overcast clouds
268,Kontagora,NG,10.3999,5.4695,71.06,97,100,5.39,light rain
269,Lasalgaon,IN,20.15,74.2333,74.1,90,100,7.4,overcast clouds
270,Sao Bras De Alportel,PT,37.1531,-7.8875,75.88,50,0,6.91,clear sky
271,Miyako,JP,39.6367,141.9525,69.51,99,100,8.23,moderate rain
272,Alamosa,US,37.4695,-105.87,69.78,46,100,6.91,overcast clouds
